id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
NE;NORDESTE;2026-01-02 23:00:00;15251.773
S;SUL;2026-01-02 23:00:00;13483.829999999996
SE;SUDESTE/CENTRO-OESTE;2026-01-02 23:00:00;46492.80699999999
N;NORTE;2026-01-03 00:00:00;8824.591
NE;NORDESTE;2026-01-03 00:00:00;14941.014000000005
S;SUL;2026-01-03 00:00:00;12590.397999999996
SE;SUDESTE/CENTRO-OESTE;2026-01-03 00:00:00;44627.69099999999
N;NORTE;2026-01-03 01:00:00;8679.689999999999
NE;NORDESTE;2026-01-03 01:00:00;14488.955999999998
S;SUL;2026-01-03 01:00:00;11847.878
SE;SUDESTE/CENTRO-OESTE;2026-01-03 01:00:00;42670.966000000015
N;NORTE;2026-01-03 02:00:00;8561.415
NE;NORDESTE;2026-01-03 02:00:00;14234.388
S;SUL;2026-01-03 02:00:00;11325.683
SE;SUDESTE/CENTRO-OESTE;2026-01-03 02:00:00;41328.62599999999
N;NORTE;2026-01-03 03:00:00;8381.461
NE;NORDESTE;2026-01-03 03:00:00;14050.149
S;SUL;2026-01-03 03:00:00;10891.668
SE;SUDESTE/CENTRO-OESTE;2026-01-03 03:00:00;40379.459
N;NORTE;2026-01-03 04:00:00;8200.235
NE;NORDESTE;2026-01-03 04:00:00;13950.371999999996
S;SUL;2026-01-03 04:00:00;10540.19
SE;SUDESTE/CENTRO-OESTE;2026-01-03 04:00:00;40029.451
N;NORTE;2026-01-03 05:00:00;8068.013999999998
NE;NORDESTE;2026-01-03 05:00:00;13344.0
S;SUL;2026-01-03 05:00:00;10139.826
SE;SUDESTE/CENTRO-OESTE;2026-01-03 05:00:00;39602.27600000001
N;NORTE;2026-01-03 06:00:00;7693.632000000002
NE;NORDESTE;2026-01-03 06:00:00;12735.514999999996
S;SUL;2026-01-03 06:00:00;10636.134000000002
SE;SUDESTE/CENTRO-OESTE;2026-01-03 06:00:00;39301.692
N;NORTE;2026-01-03 07:00:00;7533.511
NE;NORDESTE;2026-01-03 07:00:00;12329.866999999998
S;SUL;2026-01-03 07:00:00;11101.289
SE;SUDESTE/CENTRO-OESTE;2026-01-03 07:00:00;39904.03599999999
N;NORTE;2026-01-03 08:00:00;7619.466
NE;NORDESTE;2026-01-03 08:00:00;12270.625999999997
S;SUL;2026-01-03 08:00:00;11524.416
SE;SUDESTE/CENTRO-OESTE;2026-01-03 08:00:00;40318.09799999999
N;NORTE;2026-01-03 09:00:00;7851.848000000002
NE;NORDESTE;2026-01-03 09:00:00;12432.813999999998
S;SUL;2026-01-03 09:00:00;11846.262
SE;SUDESTE/CENTRO-OESTE;2026-01-03 09:00:00;40827.92
N;NORTE;2026-01-03 10:00:00;7870.821
NE;NORDESTE;2026-01-03 10:00:00;12636.045999999998
S;SUL;2026-01-03 10:00:00;12280.385
SE;SUDESTE/CENTRO-OESTE;2026-01-03 10:00:00;41194.489000000016
N;NORTE;2026-01-03 11:00:00;7873.045999999999
NE;NORDESTE;2026-01-03 11:00:00;12481.366
S;SUL;2026-01-03 11:00:00;12815.789
SE;SUDESTE/CENTRO-OESTE;2026-01-03 11:00:00;41339.042
N;NORTE;2026-01-03 12:00:00;7823.576999999998
NE;NORDESTE;2026-01-03 12:00:00;12303.759999999998
S;SUL;2026-01-03 12:00:00;12661.564000000002
SE;SUDESTE/CENTRO-OESTE;2026-01-03 12:00:00;41380.31300000001
N;NORTE;2026-01-03 13:00:00;7853.098
NE;NORDESTE;2026-01-03 13:00:00;11989.435
S;SUL;2026-01-03 13:00:00;12415.885
SE;SUDESTE/CENTRO-OESTE;2026-01-03 13:00:00;41812.614
N;NORTE;2026-01-03 14:00:00;8060.848
NE;NORDESTE;2026-01-03 14:00:00;12010.586
S;SUL;2026-01-03 14:00:00;12064.416
SE;SUDESTE/CENTRO-OESTE;2026-01-03 14:00:00;41669.91900000001
N;NORTE;2026-01-03 15:00:00;8069.790000000001
NE;NORDESTE;2026-01-03 15:00:00;12453.092
S;SUL;2026-01-03 15:00:00;11980.415
SE;SUDESTE/CENTRO-OESTE;2026-01-03 15:00:00;42220.577000000005
N;NORTE;2026-01-03 16:00:00;7965.772000000001
NE;NORDESTE;2026-01-03 16:00:00;12613.236
S;SUL;2026-01-03 16:00:00;12122.811000000002
SE;SUDESTE/CENTRO-OESTE;2026-01-03 16:00:00;43354.99200000001
N;NORTE;2026-01-03 17:00:00;7838.726000000001
NE;NORDESTE;2026-01-03 17:00:00;13030.518000000002
S;SUL;2026-01-03 17:00:00;12608.955000000002
SE;SUDESTE/CENTRO-OESTE;2026-01-03 17:00:00;45017.344000000005
N;NORTE;2026-01-03 18:00:00;7989.141000000001
NE;NORDESTE;2026-01-03 18:00:00;14321.754999999996
S;SUL;2026-01-03 18:00:00;13180.134999999998
SE;SUDESTE/CENTRO-OESTE;2026-01-03 18:00:00;47123.83799999999
N;NORTE;2026-01-03 19:00:00;8307.782000000001
NE;NORDESTE;2026-01-03 19:00:00;14576.355
S;SUL;2026-01-03 19:00:00;13757.412999999997
SE;SUDESTE/CENTRO-OESTE;2026-01-03 19:00:00;50090.84
N;NORTE;2026-01-03 20:00:00;8342.496000000001
NE;NORDESTE;2026-01-03 20:00:00;14499.273
S;SUL;2026-01-03 20:00:00;14187.378999999995
SE;SUDESTE/CENTRO-OESTE;2026-01-03 20:00:00;50092.09500000001
N;NORTE;2026-01-03 21:00:00;8478.546999999999
NE;NORDESTE;2026-01-03 21:00:00;14887.86
S;SUL;2026-01-03 21:00:00;13594.977
